categorize;recipe_name;tags;avg_score;difficulty;ingredient;rating_count;calorie;preparation_time;comment_user;recipe_url;date_recipe
Hauptspeise;Zucchinisuppe mit Mett;['Gemüse', 'Hauptspeise', 'Suppe', 'gebunden', 'Schnell', 'einfach', 'Schwein', 'gekocht', 'Einlagen'];3.5;simpel;['4', 'Zucchini', '2m.-große', 'Zwiebel(n)', '150g', 'Crèmefraîche', '½Liter', 'Brühe', '250g', 'Mett', 'Margarine', 'Pfeffer'];2;NA;40 Min;NA;"https://www.chefkoch.de/rezepte/1054301210415764/Zucchinisuppe-mit-Mett.html
";['11.05.2008']
Hauptspeise;Tomaten mit Mett, Zwiebeln und Schafskäse;['Gemüse', 'Hauptspeise', 'Schnell', 'einfach', 'Schwein', 'Schmoren', 'Snack', 'Studentenküche'];3.5;simpel;['1EL', 'Öl', '250g', 'Mett(Mettgut)', '2m.-große', 'Zwiebel(n)', 'etwas', 'Salz', 'etwas', 'Pfeffer', '6', 'Tomate(n)', '100g', 'Feta-Käse', '1EL,gehäuft', 'Petersilie', 'n.B.', 'Gewürz(e),mediterrane'];2;NA;3 Min;NA;"https://www.chefkoch.de/rezepte/3187151474371127/Tomaten-mit-Mett-Zwiebeln-und-Schafskaese.html
";['23.09.2016']
Hauptspeise;Möhrengemüse mit Mettenden;['Gemüse', 'Hauptspeise', 'Schwein', 'Eintopf', 'Kartoffeln', 'gekocht'];3.5;normal;['1kg', 'Kartoffel(n)', '1kg', 'Möhre(n)', '1', 'Zwiebel(n)', '2Würfel', 'Brühe', '4', 'Würstchen(Mettenden)', 'etwas', 'Margarine,oderButter', '1Schuss', 'Essig', '8EL', 'Zucker', 'Pfeffer', 'Salz'];6;NA;30 Min;NA;"https://www.chefkoch.de/rezepte/1549831261921817/Moehrengemuese-mit-Mettenden.html
";['27.12.2009']
